Club Name,Category
Actuarial Club - UW Madison,Academic/Career
Advertising Club,Academic/Career
Alpha Chapter of Alpha Chi Sigma,Academic/Career
Alpha Epsilon Delta (PreHealth Honor Society) Wisconsin Beta Chapter,Academic/Career
Alpha Kappa Psi (Alpha Mu Chapter),Academic/Career
American Institute of Aeronautics and Astronautics UW Madison Chapter,Academic/Career
American Marketing Association (UW-Madison Collegiate Chapter),Academic/Career
American Medical Student Association - UW-Madison Premedical Chapter,Academic/Career
American Medical Women's Association Premedical Branch UW Madison,Academic/Career
American Society for Biochemistry and Molecular Biology UW-Madison Student Chapter,Academic/Career
American Society of Agricultural & Biological Engineers UW-Madison,Academic/Career
American Society of Mechanical Engineers - UW Madison Chapter,Academic/Career
Artificial Intelligence Club UW-Madison,Academic/Career
Aspiring Nurses Association,Academic/Career
Aspiring Physician Assistant Association,Academic/Career
Association for Women in Communications UW-Madison Chapter,Academic/Career
Association of Women in Sports Media-Wisconsin Chapter,Academic/Career
Astronomy Club,Academic/Career
Badger Amateur Radio Society,Academic/Career
Badger Blockchain,Academic/Career
Badger Consulting,Academic/Career
Badger Fly,Academic/Career
Hmong American Student Association,Academic/Career
Badger Tank UW-Madison,Academic/Career
Badgerloop,Academic/Career
Bioethics @ UW-Madison,Academic/Career
Biomedical Engineering Society UW-Madison Chapter,Academic/Career
Bucky Pre-Health Volunteering Association,Academic/Career
Chinese Psychelogos,Academic/Career
Collegiate DECA UW Madison Chapter,Academic/Career
ColorStack at UW-Madison,Academic/Career
Data Science Club,Academic/Career
Data Science For Sustainable Development - UW-Madison,Academic/Career
Delta Sigma Pi Psi Chapter,Academic/Career
Economics Student Association,Academic/Career
Education Currigers,Academic/Career
Effective Altruism UW-Madison,Academic/Career
Engineering Business and Entrepreneurship,Academic/Career
Environmental Engineering Club,Academic/Career
Geography Club,Academic/Career
Girls Who Code - UW Madison,Academic/Career
Global Economic Forum - Madison,Academic/Career
Good Futures,Academic/Career
Google Developer Student Club,Academic/Career
Greater University Tutoring Service,Academic/Career
Health Occupations Students of America - UW Madison,Academic/Career
Health Professions Society,Academic/Career
Honors Student Organization,Academic/Career
Information Systems Society,Academic/Career
Cybersecurity UW,Academic/Career
Insight Wisconsin,Academic/Career
Institute of Electrical and Electronic Engineers UW-Madison Stu- dent Chapter,Academic/Career
Institute of Industrial and Systems Engineers University of Wiscon- sin-Madison Chapter,Academic/Career
Institute of Management Accountants UW-Madison,Academic/Career
Journal Club (UW-Madison),Academic/Career
Madison Business Mentoring,Academic/Career
Math Club,Academic/Career
Peer Learning Association - UW Madison,Academic/Career
Phi Alpha Delta Pre-Law Chapter,Academic/Career
Phi Alpha Theta at UW-Madison,Academic/Career
Pre-Dental Education and Community Service,Academic/Career
Pre-Genetic Counseling Organization of UW-Madison,Academic/Career
Pre-Law Society at UW - Madison,Academic/Career
Pre-Pharmacy Club,Academic/Career
Pre-Student Osteopathic Medical Association,Academic/Career
Pre-Veterinary Association,Academic/Career
Progressive Asia Association,Academic/Career
Psychology Club,Academic/Career
Public Relations Student Society of America (PRSSA) UW-Madison,Academic/Career
Badgers with a Heart,Academic/Career
SAE Baja Team UW-Madison,Academic/Career
Science Communication Club - UW Madison,Academic/Career
Society for Human Resource Management,Academic/Career
Sports Medicine and Athletic Healthcare Club,Academic/Career
Student Nurses' Association,Academic/Career
Student Retail Association,Academic/Career
Thomistic Institute at the University of Wisconsin-Madison,Academic/Career
Undergraduate Genetics Association,Academic/Career
Undergraduate GeoClub,Academic/Career
Undergraduate Neuroscience Society,Academic/Career
Undergraduate Statistics Club of UW-Madison,Academic/Career
Unexplored Medical Professions Society,Academic/Career
Web Development Club,Academic/Career
Wisconsin Autonomous,Academic/Career
Wisconsin Consulting Club,Academic/Career
Wisconsin Model United Nations,Academic/Career
Wisconsin NAMA,Academic/Career
Wisconsin Pre-Medical Society UW Madison,Academic/Career
Wisconsin Robotics,Academic/Career
WiscWind,Academic/Career
Women in Business,Academic/Career
Women in Business Technology,Academic/Career
Women in Economics,Academic/Career
Fantasy Sports and Finance Club,Academic/Career
Women in Scientific Education and Research,Academic/Career
Women in STEM,Academic/Career
Women's Network: UW-Madison The,Academic/Career
Yuan-Shan Study Society,Academic/Career
Advocates for Alzheimer's,Activism/Advocacy
Advocates for Immigrants' Rights,Activism/Advocacy
Advocates for Rare Diseases,Activism/Advocacy
American Civil Liberties Union Student Alliance at UW - Madison,Activism/Advocacy
Amnesty International at UW-Madison,Activism/Advocacy
Badger Diabetes Advocates,Activism/Advocacy
Body Advocacy Movement,Activism/Advocacy
Dane4Dogs UW-Madison Chapter,Activism/Advocacy
DREAMers of UW-Madison,Activism/Advocacy
Effective Animal Advocacy,Activism/Advocacy
EmBark UW,Activism/Advocacy
Free/Libre and Open Source Software Club,Activism/Advocacy
Badger Pop Tab Initiative,Activism/Advocacy
J Street U at Wisconsin,Activism/Advocacy
